group,Ebp_AI,Ebp_Human
1,11.017785487120408,6.97387342180299
2,23.057447077509845,14.733919543201731
3,6.134453540776934,7.695726437551485
4,16.790244717149697,15.022970343686671
5,6.436249556898661,3.9253561646619772
6,1.8336485019036597,1.6758768895799083
7,13.626914170705621,12.886036098817755
8,4.775324779408303,4.316235255814595
9,23.126764925633033,21.477126305287015
10,7.17324283905508,6.017753772633215
11,25.726210947890706,23.841251960406623
12,10.150146731191484,12.689561317616269
13,5.867810423556893,3.9413130454109533
14,8.453101721659195,9.469706600182894
15,15.19070526070212,13.953559768674301
16,3.370309245064205,4.994101141952786
17,10.743544864164527,14.194987746317368
18,2.8819590438973703,2.4765482165043506
19,12.50371965573201,18.25977607699439
20,2.7946677404692295,3.417656686386929
21,22.83951765581121,28.234739603520065
