group,Ebp_AI,Ebp_Human
1,10.57070653789076,10.94087855541818
2,35.55347932626858,31.305189676793155
3,12.064564373356578,11.58430420820916
4,28.620311454887887,26.984406732929486
5,7.747261037951351,6.870818033826428
6,2.7206242825996956,2.49979008224643
7,27.905753918284375,24.820558173895623
8,6.626651962374383,6.69109241746276
9,43.79787388309983,39.51352826212715
10,9.671663186958066,9.360067371098173
11,46.16409237282948,41.07495467339021
12,23.254837298785784,22.073555357796053
13,7.580139312364609,6.808868224222333
14,21.642049498858785,18.028220259710807
15,23.15430024129285,22.28679903093755
16,7.19259592039445,6.901739394190133
17,20.586441500757083,19.82787194495744
18,4.038286008318799,3.9214093555379357
19,22.187092755737435,23.578089279994973
20,5.773990210686818,5.343029399193227
21,46.39087188570221,44.47504816537416
