group,Ebp_AI,Ebp_Human
1,7.000895241640013,6.208710402234282
2,20.10382590250345,16.35309739638836
3,6.919896981533098,7.947712349962894
4,17.03436482860532,13.706678770883796
5,5.4976130154552925,4.072408576019333
6,1.914354537437275,1.835214625878993
7,16.12453947856274,13.730272103145508
8,6.981081188815303,3.778228198934603
9,28.056450391951667,21.582075290867202
10,6.044864493900518,6.056952922418576
11,24.59396708726745,23.118607822480122
12,13.117856921747356,13.199917268932461
13,4.729721971433817,3.841159121461591
14,12.905110854825939,11.167303076133223
15,14.625523916333952,12.93862063129024
16,4.417609410207726,5.223059917187466
17,11.175365500676367,15.050643732257983
18,3.187527760887696,2.4453182562293767
19,14.375575639860426,15.993786108791197
20,2.359871491869291,3.3647025720916366
21,36.13008861218814,31.71195780921327
