group,Ebp_AI,Ebp_Human
1,12.683498679438411,12.060548765190854
2,32.50010696534024,22.229263469853837
3,9.960519411004693,11.757568333940357
4,23.5546799378633,26.0757685089158
5,5.659897251529723,5.716255294738869
6,2.1877287232030964,2.3528392803437255
7,23.648920499442607,19.86631129997262
8,6.827252929199245,7.486422171831365
9,36.71758752670916,34.31031401406838
10,10.721465622606443,9.509460071737005
11,38.867939453068544,39.29334434065117
12,19.131612495802234,19.08261550076111
13,4.946832237474057,6.5321267602853075
14,16.35387088949152,12.51611023408225
15,24.00381285961679,23.4360343995519
16,5.675021713761708,6.977030519075152
17,12.949937974598976,19.929852212207862
18,5.4270857992538115,3.8815502135485502
19,27.502780559939215,30.425257248448474
20,4.89858103933558,5.511738867075447
21,31.690778869336143,38.6763101999624
