group,Ebp_AI,Ebp_Human
1,5.769302526041972,4.9732641245176366
2,14.27158115068305,11.67466902642832
3,5.256578354651527,5.938184082786243
4,14.070580317673338,10.750138256447173
5,4.376603449850703,3.129703478402333
6,1.4520798332327343,1.3595584954200999
7,12.739378897568097,10.00936246070824
8,5.298230912055788,3.0584151587010866
9,23.091657983715717,16.28265318010622
10,4.720233060351414,4.560298491390049
11,19.04284259593664,17.726012707524
12,9.776376268371259,9.91609510447827
13,3.688583380927838,2.9302631229572684
14,10.065069251393673,8.063574469427346
15,11.948342263591666,10.228779019712388
16,3.383395733820591,4.0269384979769525
17,7.964618125865114,11.347123482391869
18,2.4572463471573434,1.9058307327984079
19,11.64567026841058,13.220491054401844
20,1.6078896822140618,2.558897443722992
21,27.8458994082387,23.055994871252313
