group,Ebp_AI,Ebp_Human
1,27.602463495588182,26.176749476502224
2,64.76756025798787,55.97630968036207
3,25.15823540291331,21.881740333297973
4,57.97606169592152,60.296740538981226
5,10.933261435299109,12.201275200549999
6,3.947312066234552,3.8803256233309074
7,51.20847694240488,46.73426470812226
8,15.720367771863476,15.844497253059378
9,85.928854021399,76.51325625393386
10,17.817767853692054,19.225195996891163
11,85.05007008332157,84.912411614668
12,39.00408201718614,41.752809899855585
13,17.052346693492407,13.770178031859015
14,26.02355180915601,24.931734376818113
15,44.43809462227789,48.68755103118345
16,9.769988285997856,11.162282746092899
17,29.610560921420824,33.68240909872769
18,7.61902851004928,7.937909471483763
19,48.5426784552524,53.62391985138199
20,10.119164080783353,10.713472444168545
21,68.57848416212623,68.90958738230778
