group,Ebp_AI,Ebp_Human
1,13.60953109854213,15.593224104919734
2,38.787352463421975,27.835401972372438
3,10.563029747387835,12.307929429013447
4,33.32448435842789,34.07333310362881
5,6.129769152845261,6.877269291835151
6,2.7234537880287584,2.0628521951329684
7,30.505955317960215,23.901298524089672
8,8.22060641244037,9.521798959229278
9,45.192153446662445,41.00424117122723
10,11.392165214561395,11.152855521730554
11,46.769717618356914,47.9150178178674
12,23.950878568891962,22.105635364158122
13,7.626265490215965,7.897292771991895
14,17.784318654802107,11.999332485766375
15,31.51991993566538,28.785633964801036
16,5.409112608740839,6.31696102639501
17,14.896536482077664,18.933773928810556
18,4.510152883159465,4.606547084741968
19,28.14472077993433,34.23044983686538
20,5.590092587689494,6.212806495703329
21,31.884911568557506,34.73549972671749
