group,Ebp_AI,Ebp_Human
1,15.37509059923483,15.593224104919734
2,37.824114513807565,27.835401972372438
3,9.965003166883905,12.307929429013447
4,31.561654306167252,34.07333310362881
5,7.857264503211438,6.877269291835151
6,1.7997263918505861,2.0628521951329684
7,25.03605923022078,23.901298524089672
8,9.418210074929664,9.521798959229278
9,42.232270400946824,41.00424117122723
10,10.599749753736342,11.152855521730554
11,45.99920891785435,47.9150178178674
12,23.14343923784918,22.105635364158122
13,8.42552110899926,7.897292771991895
14,16.70224459208541,11.999332485766375
15,32.23539929144693,28.785633964801036
16,5.717235507633502,6.31696102639501
17,21.53483661223189,18.933773928810556
18,4.974735931197179,4.606547084741968
19,28.861344846097655,34.23044983686538
20,7.564304334767816,6.212806495703329
21,33.77020231758019,34.73549972671749
