group,Ebp_AI,Ebp_Human
1,1.2084229224100893,0.46492847790667124
2,2.007700486835632,1.223553398620215
3,0.50702481327475,0.7134442352596216
4,2.6209708787767103,0.9580951017274821
5,1.0603632131116845,0.4645045716802947
6,0.4272692667471164,0.2012279397737125
7,1.4578793550534292,1.0542817102802258
8,0.6966237521307842,0.29829719196694887
9,2.4108944815972424,1.8033508930277902
10,0.5387020359948966,0.5039189488712675
11,3.288020222907388,1.8504864283536568
12,1.0437257711359553,1.2618989837380217
13,0.2494211286738476,0.30022971655233416
14,1.2132571608042815,1.302872503129929
15,1.061684513825954,1.133602612284504
16,0.5613931261332314,0.7143182987492135
17,0.8816475346074807,1.8101470086314315
18,0.9066112326413004,0.25237101097027553
19,1.1598304158031967,1.717060172182369
20,0.2223847645923706,0.2805312762427211
21,4.243112638676157,3.356405993133537
