group,Ebp_AI,Ebp_Human
1,2.797786100781059,2.4311527424200823
2,6.769612075278373,5.712630008153193
3,2.8409301251226977,2.7117699991409796
4,6.424281370242545,5.249911441443168
5,1.5684533904068558,1.6546499368773881
6,0.6276500218289116,0.6276500218289116
7,6.0831410499377485,4.779761453841528
8,2.7671231111902475,1.4912985271434247
9,11.208748419502848,7.8520904586233256
10,2.80082600203048,2.1708122113974317
11,9.15123949186308,8.563497554509686
12,6.983412037982374,4.791791182667253
13,2.432641343223559,1.4163090255967583
14,4.0658236873998055,4.045718885116781
15,4.617786731527002,5.0372012147606515
16,1.1899220169887315,1.9218293141207723
17,3.6179636343837736,5.278017606705934
18,1.2226709750142817,0.9620409959695886
19,5.109455165184099,6.35423977730866
20,1.482541550575616,1.197056046886487
21,10.117585694415427,10.497617661672463
