group,Ebp_AI,Ebp_Human
1,3.5690004871858254,2.4311527424200823
2,6.816437236077692,5.712630008153193
3,2.112658764663483,2.7117699991409796
4,4.502357905478218,5.249911441443168
5,1.4014698921129283,1.6546499368773881
6,0.9732205683955416,0.6276500218289116
7,6.003328753269721,4.779761453841528
8,2.8332132275175477,1.4912985271434247
9,10.420796849624054,7.8520904586233256
10,2.6077080678856897,2.1708122113974317
11,8.835494672107226,8.563497554509686
12,4.22262151101414,4.791791182667253
13,1.3547956028349974,1.4163090255967583
14,4.663567708971586,4.045718885116781
15,5.052544794574176,5.0372012147606515
16,1.1117771321550896,1.9218293141207723
17,4.95682702076097,5.278017606705934
18,1.2037425350511786,0.9620409959695886
19,5.8840524044186315,6.35423977730866
20,1.1396615519414874,1.197056046886487
21,11.963776917950572,10.497617661672463
