group,Ebp_AI,Ebp_Human
1,25.557424775989386,26.178247040159476
2,77.15754057867422,58.84184863180572
3,24.416327866776328,23.664120184845906
4,67.95587672678555,60.301712061867015
5,13.111626252552014,12.745101099053315
6,5.147153990757614,4.440633796616866
7,57.78136560619851,49.01777198295173
8,17.40975429930496,15.845439274667527
9,90.38195311765662,79.2116860943249
10,22.094152446451044,20.15040269050057
11,105.1263981341302,87.2065931563379
12,54.94675810698436,43.90692920922375
13,17.06673604032172,14.220497855405183
14,39.07178030441231,28.12308219550525
15,55.56007935702066,49.47217372594116
16,12.81436154331478,12.494631888019324
17,36.9395995112299,37.6313513685511
18,8.755727588773338,8.224820310949987
19,51.397623325533964,54.87982545168956
20,10.634894735219726,11.290091136785957
21,89.55820197236329,78.3919577941903
