group,Ebp_AI,Ebp_Human
1,25.555939425240833,49.25872939460199
2,72.88407153007273,68.43506322756896
3,23.008200420867066,29.19531482618387
4,67.95225689598163,104.13796932156428
5,12.22877575583372,17.315148875865287
6,4.527514765420713,7.359495710451195
7,55.48872908272523,74.99967028728555
8,17.409041205302977,22.903972036486078
9,87.52322690230751,125.39737840890022
10,21.262221726274028,22.075501722500835
11,101.81255464767162,99.75385186907342
12,52.522823180018236,71.47407430679829
13,16.529603143118372,24.851011348583025
14,35.45295526867819,45.76115531690486
15,54.69705535073004,78.18458575118675
16,11.778633871309637,17.180392977384003
17,33.885707254351644,45.20501000111801
18,8.11247377030895,12.975793850295137
19,50.20997851495077,68.58006339748641
20,10.095948191315726,16.51206623572972
21,80.82899014603967,70.22333083175708
