group,Ebp_AI,Ebp_Human
1,13.611870171065558,15.59547285470578
2,54.32145779032737,32.54869185292171
3,17.74132659420166,16.28896155513731
4,33.329851422925515,34.0790230450586
5,7.458491099942706,7.701721957255155
6,4.18864844697012,3.2789459782356705
7,36.3720869900577,28.3842304681971
8,11.131130093585686,9.523015866696037
9,50.258290672869656,46.51486896088069
10,12.875278588221452,12.991887986582421
11,60.31065759098199,52.24282427447465
12,27.537600820080236,26.58707844900576
13,11.570046327070196,8.620355835984185
14,24.148699479054173,18.008497327202033
15,34.29639336804621,30.26512000119175
16,6.849289753861818,9.29279553978982
17,20.46842243753611,27.648597855004294
18,8.31899894194721,5.161617874245581
19,30.277941114707428,37.4153136721394
20,6.620725393916174,7.354790126986164
21,46.14661578827483,56.173867062851386
