group,Ebp_AI,Ebp_Human
1,25.765628487870778,26.410900431728653
2,75.84594663501883,66.69594783274255
3,25.2825810335308,23.55798877048695
4,66.97159133150426,65.95550442271734
5,14.73819478455501,13.743055376012274
6,4.880765692667649,4.42316495898355
7,59.437843807607194,53.98538244161908
8,16.230600647811805,16.195226803831392
9,96.70038553514699,88.07555400179463
10,19.78438839482868,20.271022725584558
11,94.13434969229195,91.76011366359552
12,45.90851705966617,47.318193162554834
13,15.165493529801532,14.917534992372786
14,34.27349091275376,31.72950297896927
15,50.89720099841048,50.67677536676291
16,12.24367155327448,12.524232464209554
17,35.99547059189725,37.46553017586514
18,8.124681737157728,8.179810214930614
19,51.148705662241724,52.78992492404476
20,10.955984141543526,11.37176905620174
21,84.65381270904741,82.76836221956583
