group,run,Ebp_AI,Ebp_Human,Human_gt_AI,Diff_Human_minus_AI
1,1,1.208422922410089,0.46492847790667124,False,-0.7434944445034178
2,1,2.007700486835632,1.223553398620215,False,-0.7841470882154171
3,1,0.5070248132747501,0.7134442352596216,True,0.2064194219848715
4,1,2.6209708787767103,0.9580951017274821,False,-1.6628757770492282
5,1,1.0603632131116845,0.46450457168029474,False,-0.5958586414313898
6,1,0.4272692667471164,0.20122793977371256,False,-0.22604132697340384
7,1,1.4578793550534292,1.0542817102802258,False,-0.4035976447732035
8,1,0.6966237521307842,0.29829719196694887,False,-0.39832656016383533
9,1,2.4108944815972424,1.8033508930277902,False,-0.6075435885694522
10,1,0.5387020359948966,0.5039189488712675,False,-0.0347830871236291
11,1,3.288020222907388,1.8504864283536566,False,-1.4375337945537314
12,1,1.0437257711359553,1.2618989837380217,True,0.21817321260206635
13,1,0.2494211286738476,0.30022971655233416,True,0.05080858787848655
14,1,1.2132571608042817,1.302872503129929,True,0.08961534232564738
15,1,1.061684513825954,1.1336026122845042,True,0.07191809845855013
16,1,0.5613931261332313,0.7143182987492136,True,0.15292517261598226
17,1,0.8816475346074809,1.8101470086314313,True,0.9284994740239504
18,1,0.9066112326413005,0.25237101097027553,False,-0.654240221671025
19,1,1.1598304158031967,1.7170601721823695,True,0.5572297563791728
20,1,0.22238476459237067,0.2805312762427212,True,0.05814651165035051
21,1,4.243112638676157,3.356405993133537,False,-0.8867066455426205
