group,Ebp_AI,Ebp_Human
1,71.11865637214764,26.410900431728653
2,75.86752830392763,66.69594783274255
3,55.13609462579718,23.55798877048695
4,178.91346763117514,65.95550442271734
5,33.559950717177564,13.743055376012274
6,10.669353409658088,4.42316495898355
7,136.00141828760573,53.98538244161908
8,43.99333721987199,16.195226803831392
9,224.86995645326542,88.07555400179463
10,49.15434044871837,20.271022725584558
11,219.78145032196733,91.76011366359552
12,117.75692173273265,47.318193162554834
13,39.231059762601674,14.917534992372786
14,69.55329494012081,31.72950297896927
15,128.18928658088262,50.67677536676291
16,27.9642608613418,12.524232464209554
17,81.76081498644173,37.46553017586514
18,20.953328454212812,8.179810214930614
19,127.0237307334555,52.78992492404476
20,29.03855425412352,11.37176905620174
21,175.89844404089487,82.76836221956583
