group,run,Ebp_AI,Ebp_Human,Human_gt_AI,Diff_Human_minus_AI
1,1,1.3043253239144879,0.46492847790667124,False,-0.8393968460078166
1,2,0.7984594070263141,0.46492847790667124,False,-0.3335309291196429
1,3,0.9931317624616309,0.46492847790667124,False,-0.5282032845549597
1,4,1.7349446031621263,0.46492847790667124,False,-1.270016125255455
1,5,1.616338593312404,0.46492847790667124,False,-1.1514101154057328
1,6,1.5919310956373633,0.46492847790667124,False,-1.127002617730692
1,7,0.7768780357117293,0.46492847790667124,False,-0.31194955780505806
1,8,0.8958438395757687,0.46492847790667124,False,-0.4309153616690975
1,9,1.0410203285362722,0.46492847790667124,False,-0.576091850629601
1,10,1.5979287567418188,0.46492847790667124,False,-1.1330002788351474
1,11,1.7777796691865129,0.46492847790667124,False,-1.3128511912798415
1,12,0.8958438395757687,0.46492847790667124,False,-0.4309153616690975
1,13,1.065768047373185,0.46492847790667124,False,-0.6008395694665137
1,14,0.8958438395757687,0.46492847790667124,False,-0.4309153616690975
1,15,0.8141551049863472,0.46492847790667124,False,-0.349226627079676
2,1,3.198463801055931,1.223553398620215,False,-1.9749104024357163
2,2,1.5953533308354029,1.223553398620215,False,-0.3717999322151879
2,3,2.0161282979165627,1.223553398620215,False,-0.7925748992963477
2,4,2.137020022460785,1.223553398620215,False,-0.91346662384057
2,5,2.3993561881294014,1.223553398620215,False,-1.1758027895091865
2,6,2.103858708742487,1.223553398620215,False,-0.8803053101222722
2,7,2.0388392716110766,1.223553398620215,False,-0.8152858729908616
2,8,1.6297552282469807,1.223553398620215,False,-0.40620182962676576
2,9,1.5093553153245194,1.223553398620215,False,-0.28580191670430444
2,10,3.6455580673911845,1.223553398620215,False,-2.4220046687709695
2,11,1.5496231618555876,1.223553398620215,False,-0.3260697632353726
2,12,1.6835191946084147,1.223553398620215,False,-0.45996579598819975
2,13,1.8969132114980136,1.223553398620215,False,-0.6733598128777987
2,14,1.5063333646986923,1.223553398620215,False,-0.28277996607847733
2,15,2.1263364187081586,1.223553398620215,False,-0.9027830200879436
7,1,1.278597533245465,1.0542817102802258,False,-0.22431582296523933
7,2,2.323729301930551,1.0542817102802258,False,-1.2694475916503252
7,3,1.3277144415054938,1.0542817102802258,False,-0.273432731225268
7,4,1.4557949038890634,1.0542817102802258,False,-0.40151319360883764
7,5,1.206318273926126,1.0542817102802258,False,-0.15203656364590024
7,6,1.0182494778436866,1.0542817102802258,True,0.03603223243653919
7,7,1.4981644691603113,1.0542817102802258,False,-0.44388275888008555
7,8,1.6048517272568614,1.0542817102802258,False,-0.5505700169766357
7,9,1.5519939997303318,1.0542817102802258,False,-0.49771228945010604
7,10,1.8897549888841547,1.0542817102802258,False,-0.835473278603929
7,11,1.3146319450365522,1.0542817102802258,False,-0.26035023475632646
7,12,2.919496810106645,1.0542817102802258,False,-1.8652150998264192
7,13,1.7745736485431125,1.0542817102802258,False,-0.7202919382628867
7,14,1.3322013428675692,1.0542817102802258,False,-0.2779196325873434
7,15,1.469212304458198,1.0542817102802258,False,-0.4149305941779722
9,1,2.954705956528938,1.8033508930277902,False,-1.1513550635011478
