group,Ebp_AI,Ebp_Human
1,0.6602987019736823,0.3979636631228674
2,1.3773970290788433,0.9964678036802594
3,0.3767746308687447,0.39884034721002254
4,1.511443352942221,0.8693444180768669
5,0.4582856068560376,0.3236692369831281
6,0.16026319720599827,0.08795532910949463
7,1.060798418088203,0.8190349556302383
8,0.4002578128970932,0.24588401890558917
9,1.7265858916682784,1.3289381955622832
10,0.39096776448068804,0.30616289018012977
11,2.0361545504911955,1.3016823463105318
12,0.8186866099059233,0.7014978601106646
13,0.2354787889001347,0.22669746513911213
14,0.7479672260747112,0.691793323025929
15,0.8651596539174133,0.7945827552982643
16,0.28551093115376663,0.21962451936816596
17,0.6162555974855649,0.6511212624560437
18,0.3206942449564111,0.181107638975379
19,0.9799321877467309,0.981261795112439
20,0.18532277017286086,0.15876597169966777
21,2.001470521109291,1.3634132093167504
