group,Ebp_AI,Ebp_Human
1,55.69806283806085,54.946164269819974
2,144.15287436325295,137.42586757118866
3,46.56210670020938,45.577784191002344
4,144.42871533331476,143.1625967786999
5,27.194460131540808,26.617502642125103
6,8.208579642518282,7.928609031800767
7,116.50660685967273,111.454673149659
8,34.47510470834782,34.008368159990695
9,196.61546721969498,185.30034143373877
10,40.95141042387808,40.09620957133596
11,194.5587935380118,188.2268754684957
12,99.54599889500683,96.19877715735358
13,32.06919334902973,30.301216981927837
14,62.64220176265427,58.94484915598525
15,106.793899538959,103.84844232276049
16,23.117624093524277,22.8423863613641
17,71.1948751032198,69.69639672352122
18,15.935805052410704,15.842425255680883
19,106.32478531158621,105.2004724536795
20,23.110083643263934,22.532532243850657
21,163.79204502588695,157.31726260430707
